,Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
17945,2017, Jasper Jones,Australian,Rachel Perkins,"Hugo Weaving, Toni Collette","drama, mystery",https://en.wikipedia.org/wiki/Jasper_Jones_(film),"Protagonist Charlie Bucktin is a 14-year-old boy living in the fictitious rural town of Corrigan in Western Australia. Charlie spends his days with his best friend Jeffrey Lu, a Vietnamese boy who shares Charlie's love of intellectual banter, and deals stoically with the constant race-hate inflicted on him and his family. Eliza Wishart, a local girl, and daughter of the President of the town hall becomes more and more endeared towards Charlie.
On Christmas evening Charlie is unexpectedly visited by Jasper Jones, an outcast in Corrigan due to his mixed White-Aboriginal heritage and rebellious lifestyle. Jasper begs for Charlie's help, and leads him to his private glade in the bush. Here Charlie is horrified to find the dead body of a young girl, Jasper's girlfriend Laura Wishart, battered and hanging from a tree. Jasper, aware that he is likely to be blamed for Laura's murder, convinces Charlie that they should hide the body, so they throw it into a nearby pond, weighted by a large rock.
Jeffrey is passionate about cricket, but his attempts to join the Corrigan team are thwarted by the racism of the coach and other players. Eventually fortune goes his way, and he finds himself batting in a game against a rival town, watched by Charlie, who has befriended Eliza, Laura Wishart's younger sister. As Jeffrey wins the game on the last ball, Charlie and Eliza hold hands and embrace.
A search for the missing girl is soon organised, focused on the idea that she may have run away. Jasper is interrogated roughly by the local police, but he soon escapes. Meanwhile tension builds in the town, as parents fear more disappearances, and townspeople search for someone to blame. The tension is funneled into strict curfews for the children as well as racial attacks on Jeffrey's family. It is revealed that Charlie's mother, increasingly disillusioned with life in Corrigan and her marriage, is having an affair with the Sarge involved with the investigation into Laura's disappearance.
Jasper believes that Laura's murderer is Mad Jack Lionel, a reclusive old man who is rumored to have done terrible things in the past. Jasper determines to confront Lionel on New Year's Eve, and together with Charlie, goes to his house. Lionel manages to defuse Jasper's aggression, and the truth comes out: Lionel is actually Jasper's grandfather who had ostracised his son's family knowing that he had married with an Aboriginal woman when Jasper was a baby. His daughter-in-law then took care of him, spurring a change of heart towards her. One night, she needed medical attention, and Lionel had attempted to race her to hospital. In his haste, however, he accidentally crashed his car, causing her death. The incident has left him guilty, broken, and ostracized by the townspeople. Ever since, Lionel has been trying to reach out to Jasper and apologise for his actions.
On the same night, Charlie comes to Eliza's window. They go to Jasper's glade. Here Eliza tells Charlie that she knows everything about Laura's death and hands him the suicide note detailing the gruesome reasons for her apparent suicide. The note said that after rampant sexual abuse by her abusive father, leaving Laura pregnant, and after a particularly violent fight on Christmas day, Laura came looking for Jasper. Eliza followed her to the glade. Finding Jasper away, in despair Laura hanged herself, and Eliza, paralyzed by fear, could not save her. Charlie then confesses that he and Jasper had thrown Laura's body into the pond.
Charlie's mother leaves Corrigan. Charlie remains close to Eliza, who exacts revenge on her father by setting fire to their house, injuring him. The secret about Laura's death remains with the three of them."
17946,2017, Jungle,Australian,Greg McLean,"Daniel Radcliffe, Alex Russell",adventure,https://en.wikipedia.org/wiki/Jungle_(2017_film),"In early 1980s, an Israeli adventurer named Yossi Ghinsberg (Daniel Radcliffe) travels to Bolivia for a journey into the heart of the Amazon rainforest. There, he meets Marcus Stamm, a Swiss school teacher, and Marcus's friend Kevin Gale, an American hiker and avid photographer. The three are staying in La Paz, where one of them has an apartment. Yossi is out in the market one day and a stranger asks if he is an American, he replied ""No"". This stranger is Austrian, Karl Ruprechter. During conversation Karl claims the existence of a Indian tribe in the jungle that they should go see. Karl says everything will be okay because he knows the jungle and he's friends with the tribe. Yossi, excited about the prospect of exploring the jungle, chooses to believe him. He heads back to the apartment to convince Marcus and Kevin to come along. Being skeptical of the stranger and his story, they refuse. Yossi continues to press them and they ultimately acquiesce.
The next day they meet Karl in a shop while he is gathering supplies for the hike. All three men are surprised when Karl leaves with the supplies and tells them they will pay for everything.
Yossi, Marcus, Kevin and Karl hike through the jungle for several days. They make it to a village where it's apparent Karl knows the villagers. They spend the day in the village and stay over night. They head back into the jungle the next morning. Marcus starts having trouble walking and it is discovered his feet are full of bloody sores. By now Kevin and Yossi are a little tired of Marcus' complaining. Yossi, Kevin and Karl are discussing how they all should proceed. Karl wants to leave the three while he goes and gets help but Kevin and Yossi disagree with that. At this point Marcus walks up and Kevin suggest an idea of building a raft and use the river so all of them can stay together. They build a raft and set off down the river. They hit some rapids, barely making it through. Karl gets upset at Kevin for taking control on the raft and floats the raft to shore and says something ""smart"" then says he's going hunting. Yossi goes to find him so he doesn't leave them. Marcus and Karl decide to leave the journey and go back to La Paz, which takes three days. Yossi and Kevin continue their journey until their makeshift raft is destroyed by a strong current, and Yossi is washed away by the river, leaving Kevin behind. Without a knife or any kind of survival training, he must improvise shelter and forage to survive. Ghinsberg begins to give up hope after losing all sense of direction, wondering if he will ever survive the jungle. Meanwhile, Kevin is discovered by people from the local town who take him to Rurrenabaque which is 120 miles from Yossi's location, Curiplaya. Arriving there, Kevin called for the help of the local authorities to find Yossi. They failed to find Yossi through a plane flyover, but Kevin believes that Yossi is alive. Kevin ropes in the help of the local boat driver to search for him. Kevin finally discovers a now-weak Yossi and takes him to Rurrenabaque.
The epilogue says that Karl and Marcus were never seen again and Karl was wanted by the authorities."
17947,2017, Killing Ground,Australian,Damien Power,"Aaron Pedersen, Harriet Dyer, Maya Stange, Tiarnie Coupland",thriller,https://en.wikipedia.org/wiki/The_Killing_Ground_(2017_film),"Ian Smith and Samantha ""Sam"" Shaw are a couple taking a romantic trip for New Year's Eve in the outback. They head to a remote beach for a weekend getaway from the pressures of city life. On the way, they meet German, a man who advises them to set up camp at a beach near a waterfall. When they arrive, they set up camp next to an abandoned campsite with no trace of its occupants. Sam suggests to Ian that they should get married and Ian happily agrees.
After a few nights, they become concerned when they discover a traumatized baby on his own. Elsewhere, German tells his associate, Chook, about Ian and Sam, and the two begin to make plans. Chook is so excited to ""go hunting"" that he leaves early that morning without German. Chook finds Ian and Sam with the baby, Ollie, stuck at the campsite with a flat tire.
Three days earlier, the Baker family - Robert, Margaret, their 16-year-old daughter Emily and their infant son, Ollie - had been camping at the same place. German and Chook showed up at the campsite and kidnapped Robert, Margaret, and Emily, unaware of Ollie’s presence. German and Chook raped Margaret and Emily, and torture the family before murdering them all. After spotting Ollie in a photo on Emily's cell phone, they returned to search for him, but he had wandered off.
Back to the present, Chook persuades Ian to go and search for the missing family. However, he intends to take Ian up to the killing ground to taunt him with the corpses as part of his sick game. When they arrive, the pair discovers that Margaret didn't die from her injuries and crawled off to the creek. Ian tries to save her, but Chook shoots and kills her on the spot. As Chook explains his intent to rape Sam and kill him, Ian charges forward and knocks him down. But rather than fighting Chook, Ian runs off in a panic as Chook chases him.
Meanwhile, German arrives at the campsite to find Sam alone with Ollie. German tries to abduct Sam from the car, but she slashes his wrist and escapes with Ollie into the woods. German releases his dog, Banjo, to attack them. However, Banjo gets distracted by a wild boar and leaves German to chase after them instead.
Chook mistakenly shoots German, thinking he is Ian. Chook apologizes to German as Ian watches from a hiding spot. Nearby, Ollie begins to cry, giving away Sam and Ollie’s location. Ian attempts to retrieve German's sniper rifle, but he is too afraid and returns to his hiding spot. Chook kills German, who begs him to end his suffering. Chook snatches Ollie from Sam before slamming him to the ground. Chook then takes Sam hostage and tells Ian he will be waiting at the killing ground.
After Chook leaves with Sam, Ian stops hiding and notices German's car keys protruding from his pocket. Meanwhile, Chook grows impatient that Ian hasn't come to save Sam, so he threatens to rape her. Right then, he hears Ian escaping in German's truck. Chook angrily drags Sam off with him as they attempt to intercept Ian. When they pass German's corpse, Sam notices that Ollie is missing. Once inside Chook's car, he insults Ian for abandoning Sam, but Sam believes that Ian took Ollie with him. Sam tries to fight Chook, leading to him crashing into a tree, knocking them both unconscious.
As night falls, Ian arrives at the police station and asks for help. He accompanies two officers to the campsite. Sam awakens in the wreck of the car with her hands tied to the steering wheel and Chook absent. The officers spot the wreckage when Sam flashes the head beams on the car, but Chook kills them as they exit their police car. Chook shoots Ian in the arm and holds him hostage. He demands that Sam drive him to a safe location. Sam complies and runs up to save Ian from bleeding to death.
Sam asks Ian if Ollie survived, but Ian tells her that Ollie was never with him and he ran off to the police as he didn't know what to do. Ollie is shown to have crawled away from German's corpse as Banjo sits silently guarding him. His final fate remains unknown.
While driving out of the campsite, Sam resolves to stop Chook and violently crashes the vehicle. Ian falls unconscious, and Chook - badly injured - manages to get away from the wreckage. Sam scuffles with Chook for his handgun before she smashes his head with a large rock, finally killing him.
In the end, Sam wakes up in a hospital and leaves her room to find Ian, recovering from his broken arm in another room. Sam stands silently beside his bed."
22882,2017,The Adventurers,Chinese,Stephen Fung,"Andy Lau, Shu Qi, Zhang Jingchu",action / adventure,https://en.wikipedia.org/wiki/The_Adventurers_(2017_film),"Infamous thief Dan Cheung (Andy Lau) miscalculated during a heist and was apprehended and imprisoned as a result. Five years later, Cheung enlists his longtime partner Po Chen (Tony Yang) and new recruit Red Ye (Shu Qi) to steal precious jewels in Europe under the watchful eyes of French detective, Pierre (Jean Reno), who has been hot on Cheung's trails for many years.
After testing their skills and agility, Cheung finds the buyer of the jewels, King Kong (Eric Tsang), leader of a criminal organisation and a father figure to Cheung. After the two reunite, Cheung receives a new mission. At the same time, in order to bring Cheung and his gang to justice, Pierre persuades Cheung's ex-fiancée, Amber Li (Zhang Jingchu), who had developed hatred from love towards Cheung, to join the hunt.
From Cannes to Prague, a game of cat and mouse across Europe begins. After a series of close combat, Pierre is able to gradually grasp Cheung's whereabouts. And as everyone is about to get close to the target, Cheung's true plan also gradually surfaces."
22881,2017,My Other Home,Chinese,Unknown,,drama,https://en.wikipedia.org/wiki/My_Other_Home,"Stephon Marbury, after his fall from grace in the National Basketball Association and subsequent depression, rediscovers himself in the Chinese Basketball Association. He also tries to rebuild the Beijing Ducks' dynasty."
22880,2017,Once Upon a Time,Chinese,Zhao Xiaoding Anthony LaMolinara,"Liu Yifei, Yang Yang, Luo Jin",romance / fantasy,https://en.wikipedia.org/wiki/Once_Upon_a_Time_(2017_film),"Bai Qian is the youngest of five in the Bai family, a family of fox deities and the rulers of the mystical land, Qing Qiu. One day, Bai Qian is invited to the East Sea to attend a party. There, she runs into a little boy who steals her fan. When she notices the boy missing, she spots a lady dropping the fan. The lady is recognized by Bai Qian to be Xuan Nu, the Demon Clan's Queen and a shapeshifter. Xuan Nu runs away, only for a man to come running to the boy. Bai Qian, thinking that he is Xuan Nu, tries to stop him from approaching the boy, named Ah Li. While fighting, the man stops and calls her Su Su, suddenly recognizing her as her mask comes off. The man is revealed to be Ye Hua, her betrothed, Ah Li's father, and the Heaven Tribe's Crown Prince. After Ye Hua apologizes, she leaves.
Back in Qing Qiu, Ye Hua and Ah Li has decided to stay with Bai Qian. Ye Hua is determined to make her fall in love with him while Ah Li believes that she's his mother. While Bai Qian is with Zhe Yan, a family friend, Mi Gu, a tree spirit, informs her that someone has come to Qing Qiu to take Ah Li away. While Ah Li is running away from a lady, they both happen to stumble into a cave. The lady sees a man in an ice block and recognizes the man as Mo Yuan. When Bai Qian arrives, the lady introduces herself to be Su Jin, a princess consort of the Heaven Tribe, who happens to be in love with Ye Hua. Ye Hua walks in and tells both of them that Ah Li will be returning to the Heaven Tribe after celebrating his birthday in the mortal realm with his mom and dad.
In the mortal realm, Ye Hua explains that three hundred years ago, he was mortally wounded in a battle and was too exhausted to use his powers. Su Su, a human girl, ended up taking care of him, and as a repayment for her kindness, Ye Hua agreed to marry her. Ye Hua realizes that Su Su and Bai Qian are the same person and wishes that Bai Qian could remember and forget all that happened in the past.
Back in Qing Qiu, Bai Qian visits Mo Yuan, the god of war and a highly respected person in the Heaven Tribe. She preserves him with her blood and talks to him, calling him her master. It is revealed that she has been waiting for him to awaken for seventy thousand years after he had trapped the Demon King, Qing Cang, in a bell. She tells him that she met someone recently who reminded her of Mo Yuan.
After an incident involving Ah Li drinking too much alcohol, Bai Qian and Ye Hua argue. Bai Qian, having developed a close bond with Ah Li, wants them to stay a while longer and doesn't find fault in her actions. Ye Hua, an overprotective dad, dismisses Bai Qian's excuses and leaves for the Heaven Tribe.
While Bai Qian is gone, Xuan Nu comes and steals Mo Yuan's body. Bai Qian and Zhe Yan then rush to the Demon Clan, planning to rescue Mo Yuan. During the fight, Ye Hua shows up and helps Bai Qian, only for the sake of taking Mo Yuan's body back to the Heaven Tribe. After rescuing him, Ye Hua recalls that in the books he studied, it was told that after locking up Qing Cang, Mo Yuan went to live in seclusion with his favorite disciple, Si Yin, who was Bai Qian. She tells him that after Mo Yuan died, she brought him here and waited for him to come back.
The two develop a mutual liking for each other and Ye Hua decides to bring Bai Qian to the Heaven Tribe, hoping to get married. During Bai Qian and Ye Hua's wedding, Su Jin tells Bai Qian more of the story between Su Su and Ye Hua. Ye Hua took Su Su to the Heaven Palace and abandoned her there, driving Su Su to commit suicide. Su Jin warns her and says that Ye Hua is only with her because of the guilt he feels for Su Su. Bai Qian, filled with doubt, leaves him at the altar.
Later on, Bai Qian comes back planning to receive the soul-binding lamp from Ye Hua, so it could speed up the process of her master waking up. They both argue with Bai Qian saying that his heart still belongs to Su Su while Ye Hua claims that there has only been a place in her heart for Mo Yuan. He finally confesses that Su Su and Bai Qian are actually the same person. Finally, Ye Hua lends her the lamp and tells her that he hopes she can forgive him. Her memories are released and it is revealed that Su Jin, who was jealous, had Su Su's eyes removed to replace her own after Su Jin jumped into the execution platform, claiming that Su Su pushed her. When Su Su tried to beg Ye Hua to believe her, but he didnt. Su Su asked Ye Hua to name their baby after the word 'parting' and jumped off of the Execution Platform. When Su Su landed in Qing Qiu, her powers returned and she drank an amnesia potion to forget all the pain that happened to her while she was Su Su. After snapping back to reality, Su Jin approaches her and pushes her off the Execution Platform, but Ye Hua catches her. Ye Hua tries to console Bai Qian, but she leaves him and returns to Qing Qiu.
Nai Nai, Bai Qian/Su Su's maid in the Heaven Palace, pleads Bai Qian to forgive Ye Hua. Nai Nai tells Bai Qian the true story of what actually happened. All the time that Ye Hua abandoned her, he was trying to get permission from the heavenly lord to marry her. And when she jumped off the Execution Platform, Ye Hua jumped after her, harming himself. He even took the lightning punishment that was meant for her for 'pushing' Su Jin.
Ye Hua stays in Qing Qiu, refusing to leave until Bai Qian forgives him. For seven days and nights, Bai Qian refuses to see him or welcome him into Qing Qiu.
At the Bell, Su Jin awakens Qing Cang, hoping that he will kill Ye Hua and Bai Qian for mistreating her. Ye Hua decides to go fight Qing Cang. Bai Qian learns of the news and rushes to go help him, but she is too late. Ye Hua sacrifices himself, just like how Mo Yuan did, to lock up Qing Cang. The river, that the bell is on, freezes and Ye Hua floats away under the ice. Bai Qian follows him and screams, saying that she'll drink the potion again if he dares to die. Ye Hua watches her and sinks to the bottom, his last wish being that she could forget him for all the pain that he has cause her.
Later on, Mo Yuan's ice block cracks and he awakens. As Bai Qian runs to finally see her master, she is stopped by Mo Yuan/Ye Hua standing there and asking her (Qian Qian, a nickname that only Ye Hua called her) to come closer."
22857,2017,Kung Fu Yoga,Chinese,Stanley Tong,"Jackie Chan, Aarif Rahman, Lay",comedy / action / adventure,https://en.wikipedia.org/wiki/Kung_Fu_Yoga,"Jack (Jackie Chan), a renowned professor of archaeology at the Terracotta Warriors Museum in Xi'an, teams up with young Indian professor Ashmita (Disha Patani) from National Museum Institute, Rajasthan to locate India's lost Magadha treasure in Tibet. Their team find the treasure underneath a frozen lake using modern technology. However, they are interrupted by a group of mercenaries led by Randall (Sonu Sood) who steals the treasure and leaves them there to die. In the chaos, Jones – a member from Jack's team who is more a treasure hunter than an archaeologist smuggles away with a diamond artifact. Jack's and Ashmita's team manage to escape from the underground icy cavern through an opening.
Two weeks later, the 212 carat diamond artifact pops up in Dubai for auctions at the black market. To save his job, Jack attempts to take back the artifact with the help of a rich friend. Jack wins the auction but Randall strikes again with his goons which result in a high speed car chase through heavy traffic in Dubai. In the ensuing chase, Ashmita snatches it from them. Jack traces about Ashmita's whereabouts and finds she isn't who she claimed to be before but the youngest descendant of Magadha royalty. Ashmita explains the diamond artifact is known as the ""Eye of Shiva"" in their family chronicles and it is the key to immense treasure hidden somewhere.
She asks Jack to help her find the real treasure and protect it from wrong hands. They further find the diamond artifact is a part of a scepter that opens a map room built using vastu shastra and astronomical positions of that period in a closed part of a sacred temple. Randall kidnaps Jack and Ashmita, demands to find the treasure for him because it belonged to his family. They all together find the map room which happens to be a puzzle room where a wrong move can cost lives.
They reach to an underground Shiva temple made out of gold that is nearby a secluded waterfall. Reaching there, Randall's group begins to extract gems and diamonds from the temple decorations and searches for the treasure, but to his despair, they find the treasure that the legend says is ancient knowledge about medicine, Buddhism, mechanical structures, and many more. In despair, Randall tries to destroy everything, but Jack, Ashmita and their team start a fight to stop them. Jack fights using principles of yoga and kung fu to beat down Randall and convinces him the significant importance of this finding. Meanwhile, a group of Sannyasis comes down through the new opening above ground and by seeing the magnificence of the deity in underground temple, they start to sing and dance in joy. The groups that were fighting, realizing their pettiness, stop fighting and happily join with the joyous expression and costume changes."
22855,2017,Duckweed,Chinese,Han Han,"Deng Chao, Eddie Peng, Zhao Liying",drama / comedy,https://en.wikipedia.org/wiki/Duckweed_(film),"The film tells the story about the reconciliation between a father and his son. Ah Lang, a youth from a small town, thinks that his father Ah Zheng never understood his occupation and life. In a fateful occurrence, he is able to experience his father's legendary and interesting life in the past.
Movie started with Xu Tailang (Deng Chao) winning the 2022 China Rally Championship as his aging father, Xu Zhengtai (Eddie Peng) watches. Following this, while taking his father for a speed drive an oncoming train crashes into the side at rear end of his car as it jumps over the railway track As he lies on the gurney being pushed along the corridor of a hospital, he sees himself transported back in time to 1998 in the town where he was born. Thus, begins his comical adventures with his young father (Eddie Peng) and the people during that time period, at the same time meeting his mother whom he has never seen in person because she committed suicide due to postpartum depression after giving birth to him. Through it all, he learns how his father lived his life then, how much he loved his mother (Zanilia Zhao), why he went to prison for six years, understands his father better and gains respect for him."
22854,2017,Buddies in India,Chinese,Wang Baoqiang,"Wang Baoqiang, White. K, Yue Yunpeng",comedy / action / adventure,https://en.wikipedia.org/wiki/Buddies_in_India,"An acrobatic monkey loving circus guy accompanies son of a recently deceased CEO to India to recover his will. His uncle sends many thugs to eliminate them but by sheer luck and dedication of the acrobatic circus man, the young heir of the corporation escapes with his life. Reaching their destination point they understand the acrobat was a long lost son of the CEO's friend and he send his son to India with the aim to fulfill his promise to his friend who is staying in India."
22853,2017,Boonie Bears: Entangled Worlds,Chinese,Ding Liang,"Shang Wenjie, Bao Chunlai, Sun Jianhong",animation / children,https://en.wikipedia.org/wiki/Boonie_Bears:_Entangled_Worlds,"Boonie bears and the gang, (Da Ya, Big Vince and Small Yukun) Try to stop the Catherine from getting the golden antliers."
22852,2017,Backkom Bear: Agent 008,Chinese,Unknown,,comedy / animation / family / adventure,https://en.wikipedia.org/wiki/Backkom_Bear:_Agent_008,"With the human exploitation of natural resources, the Arctic environment is completely destroyed, leaving only the last polar bear to survive. A human girl named Jessica adopts the polar bear and names him Backkom."
32757,2017,Khaidi No. 150,Telugu,V.V. Vinayak,"Chiranjeevi, Kajal Aggarwal, Tarun Arora",action drama,https://en.wikipedia.org/wiki/Khaidi_No._150,"In Kolkata, prisoner Kathi Seenu (Chiranjeevi), a petty criminal, helps the police capture an escaping prisoner, but he himself escapes afterwards. He goes to Hyderabad and decides to escape to Bangkok. However, he drops this plan after meeting and falling in love with Lakshmi (Kajal Aggarwal), his childhood friend at the airport, who dupes him into believing that she gave him her phone number realizing that he is having a crush on her. Later, Seenu and Malli (Ali), his friend notice a doppelgänger of Seenu named Shankar (Chiranjeevi), being shot by a group of thugs. They admit him to a hospital, following which Seenu decides to impersonate the injured Shankar to escape from the police. Under the name of his doppelgänger, Seenu and Malli enter an old-age home run by Shankar with the aim of collecting ₹25 lakhs (which is meant for the inmates of the old-age home) for their Bangkok trip, until he learns about his doppelgänger's mission. Shankar is a post-graduate in hydrology from the arid village of Neeruru in Rayalaseema who had discovered groundwater under some lands of the village which could be used as an irrigation source not only for the village, but for the entire Rayalaseema and the neighbouring areas as well. But, an MNC owned by Aggarwal (Tarun Arora) cheated the villagers into giving their lands for the construction of a factory. Shankar was arrested by the police and the six villagers as for convince the issue with media and release of Shankar commit mass suicide. On learning of the plight of Shankar and the villagers, Seenu decides to fight for their cause while still under the name of Shankar. The people of the old home and Seenu go to the jury and try to convince him to go in favour of them, but Seenu starts stating rules and scares the main jury person (whom Aggarwal had bribed). Seenu then sends a person (disguised as a hairdresser) to Aggarwal and makes him lay a fingerprint on Aggarwal's neck. After that Aggarwal sends 50 men to kill Seenu but he soon defeats them using the coins the Lion Club member gave when he was attending a ceremony for him.
Meanwhile, the real Shankar gains consciousness and finds himself in the Kolkata prison where Seenu was locked up. With the help of the man who Seenu helped capture, who has heard his story and has plans to kill Seenu in revenge for getting him caught and thrown back into prison, he soon escapes along with the prisoner's henchmen.
Not knowing that Shankar and the henchmen are headed for Hyderabad, Seenu makes efforts to convince the media to bring the plight of the villagers to national consciousness, but the media is not interested as they feel that it is not a sensational news. A few days later, at the high court, the judge declares the verdict in favour of Seenu and the villagers, but adds that Aggarwal has claimed that certain villagers who are working abroad have shown their support for the factory. If they cannot prove that their support was faked by Aggarwal within the next five days, the verdict will then go in favour of Aggarwal and the villagers will lose their lands. Since the villagers, who have denied supporting the factory, are abroad and cannot come to Hyderabad within five days to rebut Aggarwal's claims as their passports are held by their contractors, and the verdict is to be decided within five days, Seenu decides to take drastic measures to sensationalize the issue. He, Lakshmi, Malli and the inmates of the old-age home block water supply to Hyderabad by sitting on the pipelines which carry water to Hyderabad. With the plight of the Hyderabad people due to no water supply having gained national attention, Seenu comes out of the pipeline after a few days and highlights the villagers' plight in an emotionally charged speech to the media, which is telecast nationwide and moves many people.
Meanwhile, Shankar and the henchmen reach Hyderabad, but Shankar is soon kidnapped by Aggarwal's henchmen. While in Aggarwal's custody, he sees Seenu's speech on television and is moved by the efforts made by his doppelgänger to help the villagers. On the night before the verdict, Seenu's bluff is exposed, but Seenu assures the old men that he is genuinely interested in their cause, that Shankar is alive and that he will rescue Shankar from Aggarwal and hand him back over to the villagers with the assurance of a positive verdict. Seenu goes to Aggarwal's office, where Shankar is being held. He rescues Shankar and fights Aggarwal. Shankar kills Aggarwal when he was about to kill Seenu.
The next day, the verdict is declared in favour of Shankar and the villagers. The Kolkata police find Seenu and arrest him. Seenu assures Lakshmi that he will be back shortly."
32758,2017,Gautamiputra Shatakarni,Telugu,Krish,"Nandamuri Balakrishna, Shriya Saran, Hema Malini, Shiva Rajkumar",historical drama,https://en.wikipedia.org/wiki/Gautamiputra_Satakarni_(film),"Gautamiputra Satakarni (Nandamuri Balakrishna) is 2nd century AD Satavahana ruler of Amaravati who has a dream from his childhood that to unite all the 32 kingdoms in the country under one roof, to stop internal collisions between the rulers to establish peace. He takes oath on his mother Gautami Balashri (Hema Malini) and starts his mission at the age of 18 and he gives only two options to the kings on his way either peace by surrendering their sword to him or war. It takes 18 long years to achieve his goal and takes entire South India under his control. Time being Satakarni marries Vashishthi Devi (Shriya Saran) and they have a son Pulumavi (Master Snehit Chowdary).
Nahapana (Kabir Bedi) important ruler of the Western Kshatrapas, who is very powerful & crooked king, who forcibly puts all the princes of his feudatory kingdoms as royal prisoners and keeps a condition that they all should obey his orders and protect his kingdom from 4 sides. So it is a very difficult and final task to Satakarni to reach Nahapana for that he uses a strategy and decides to take his son Pulumavi along with him to the war field but his wife Vashishthi does not agree to it even then he ruthlessly takes his son. On the other hand Demetrius (David Manucharov) the Greek Emperor is waiting at the border to conquer India, he is just waiting for the result of the battle between Satakarni & Nahapana. Meanwhile, Satakarni starts moving towards Nahapana’s dynasty along with his son and promises all the feudatory kings on the way that he will safeguard & secure their children and definitely brings them back. Finally, he reaches Nahapana’s fort destroys him, protects the princes and brings the entire country under one flag.
After that Satakarni returns to Amaravathi along with 32 swords of the entire rulers of India, his mother Gautami Balashri orders to make a powerful sword by melting all these 32 swords. Everybody welcomes him with great enlightenment & joy, but his wife Vashishthi is fed-up his dictatorial mentality and decides to leave him along with the children. But now he has to perform Rajasuya Yaaga, a grand ritual made by the ruler who defeated all other kings in the earth and eligible to rule the whole world, which is impossible without a wife. So, on her mother-in-law’s request, Vashishthi agrees to stay until the completion of ritual. During the time of ritual the Emperor has to give Agra Pooja special honor to the top most person in the kingdom, Satakarni gives it to his mother by spreading the greatness of women and from that day he keeps his name Gautamiputra Satakarni and he also name’s his son as Vasishthiputra Pulumavi where his wife Vasishthi also realizes her mistake and understands greatness of her husband. From that day Satakarni starts a new era calling Salivahana Sakha and the day starting as Ugadi. On that night Kanjira (Milind Gunaji) one of the feudatory kings mixes hands with Demetrius and helps his men to enter into the fort to kill Satakarni but his mother protects him by breaking up their tactics.
Now Satakarni comes to know that Demetrius has arrived into to the borders of Sindhu Kingdom to conquer India whose army is 10 times more than his. Even then he decides to get ready for the final battle at that time his wife Vashishthi gets some bad signs that someone has given poison to her husband. So she requests him not to go to the battle where Satakarni explains her regarding his childhood dream of uniting the entire country which he had done so, now he has to protect it from invaders by exorcising them. So he doesn’t have any other choice except to go to the battle. Gauthami Balasri consults a Bhikkhu explains him regarding these bad signs and he answers that may come true, so he gives anti-dote to the poison.
At last Satakarni reaches the Sindhu Kingdom along with his feudatory kings, during the first day of the war Satakrani destroys almost half of Greek army. Now Demetrius understands it is difficult to conquer India until Satakarni is alive. So plays a dirty trick by sending a women Athena (Farah Karimaee) as a messenger for peace who gives poison to Satakrani. Next day morning Satakarni is under treatment all other Kings are under dichotomy whether to go to war or go back, but they understands the real aim of Satakarni is not only to win the country but he also want to develop unity among the kingdoms, so they all decides either to win or die in the battle. Meanwhile, Satakarni wakes up from the deathbed, reaches the battlefield, defeats Demetrius and leaves him alive by finally saying a word that no one can destroy the unity of India"
32759,2017,Shatamanam Bhavati,Telugu,Satish Vegesna,"Sharwanand, Anupama Parameswaran, Prakash Raj, Jayasudha",romantic drama,https://en.wikipedia.org/wiki/Shatamanam_Bhavati,"Raghavaraju (Prakash Raj) is a farming landlord in Atreyapuram village of Andhra Pradesh. He lives with his wife Janakamma (Jayasudha), along with Ragahvaraju's son Bangararaju (Naresh) his wife, and his son Raju (Sharwanand). Raghavaraju lives in this ancestral house built by his forefathers consisting of many generations living in the same household as a Joint family. However with changing times Ragahvarju's NRI son's and NRI daughter live in the United states, Canada, and Australia as nuclear families. After a gap of ten long years, all his children arrive in the village during the holiday season of Makar Sankranti, under mysterious circumstances after they receive an email from Raghavaraju who expresses his wish to divorce his wife Janakamma. What happens next and the events leading to this mysterious situation, and how Raghavaraju convey's his midlife crisis to his children forms the crux of the story."
